timestamp,data
2026-02-02T14:34:10.660,gyro  -0.059687 0.008393 -0.010392 rad/s
2026-02-02T14:34:10.764,[0:13:11.573]:24.8 Cel
2026-02-02T14:34:10.768,accel 8.180987 -0.117316 7.072471 m/s/s
2026-02-02T14:34:10.772,gyro  -0.053026 0.012257 -0.008393 rad/s
2026-02-02T14:34:10.876,[0:13:11.684]:24.8471 Cel
2026-02-02T14:34:10.879,accel 8.164227 -0.052673 7.067683 m/s/s
2026-02-02T14:34:10.883,gyro  -0.056223 0.010392 -0.007194 rad/s
2026-02-02T14:34:10.987,[0:13:11.796]:24.7529 Cel
2026-02-02T14:34:10.991,accel 8.200140 -0.117316 6.909665 m/s/s
2026-02-02T14:34:10.995,gyro  -0.055024 0.013323 -0.009192 rad/s
2026-02-02T14:34:11.099,[0:13:11.908]:24.8 Cel
2026-02-02T14:34:11.103,accel 8.183381 -0.038308 6.955155 m/s/s
2026-02-02T14:34:11.106,gyro  -0.057022 0.009459 -0.010525 rad/s
2026-02-02T14:34:11.211,[0:13:12.019]:24.7529 Cel
2026-02-02T14:34:11.214,accel 8.169016 -0.095769 6.969521 m/s/s
2026-02-02T14:34:11.218,gyro  -0.054358 0.007061 -0.011724 rad/s
2026-02-02T14:34:11.322,[0:13:12.131]:24.8941 Cel
2026-02-02T14:34:11.326,accel 8.207323 -0.023943 7.017405 m/s/s
2026-02-02T14:34:11.330,gyro  -0.056889 0.010392 -0.009859 rad/s
2026-02-02T14:34:11.434,[0:13:12.243]:24.8471 Cel
2026-02-02T14:34:11.438,accel 8.166621 -0.102951 7.043741 m/s/s
2026-02-02T14:34:11.442,gyro  -0.058222 0.009459 -0.007194 rad/s
2026-02-02T14:34:11.546,[0:13:12.354]:24.8471 Cel
